## EBV sequence (NC_007605.1) proportion in each contig was detected by blastn.
## Output columns description:
## [0] Reference_ID: Contig names
## [1] Total_Length: The length of contig sequence (bp)
## [2] Covered_Length: Total non-overlapping bases covered by EBV
## [3] Coverage(%): Percentage of contig sequence covered (Covered_Length/Total_Length)
## [4] Average_Identity(%): Weighted average identity of all aligned segments
#Reference_ID	Total_Length	Covered_Length	Coverage(%)	Average_Identity(%)
HIFI032007D#1#h1tg000439c	164260	164260	100.00%	99.10%
HIFI032007D#2#h2tg000560c	155758	155758	100.00%	98.83%
HIFI032007D#2#h2tg001002l	64266	64266	100.00%	99.74%
HIFI032018D#1#h1tg000541l	167932	167932	100.00%	99.01%
HIFI032018D#1#h1tg000647l	128694	128694	100.00%	99.49%
HIFI032018D#1#h1tg000717l	83557	83557	100.00%	99.25%
HIFI032018D#1#h1tg000673l	63021	63021	100.00%	98.61%
HIFI032018D#1#h1tg000551l	68958	68958	100.00%	98.31%
HIFI032018D#1#h1tg000576l	38142	38142	100.00%	97.29%
HIFI032018D#2#h2tg000496l	167932	167932	100.00%	99.01%
HIFI032018D#2#h2tg000676l	89645	89645	100.00%	99.07%
HIFI032018D#2#h2tg000659l	70776	70776	100.00%	99.32%
HIFI032018D#2#h2tg000647l	63021	63021	100.00%	98.61%
HIFI032069D#1#h1tg000297c	168526	168526	100.00%	99.08%
HIFI032069D#2#h2tg000548c	168414	168414	100.00%	99.14%
HIFI032069D#2#h2tg000044l	74981197	373	0.00%	100.00%
HIFI032097D#1#h1tg000287c	144917	144917	100.00%	98.65%
HIFI032097D#1#h1tg000455l	57677	57677	100.00%	98.59%
HIFI032097D#2#h2tg000360c	144917	144917	100.00%	98.65%
HIFI032097D#2#h2tg000484l	15804	15804	100.00%	99.78%
HIFI032097D#2#h2tg000482l	19860	19860	100.00%	95.94%
HIFI032103D#1#h1tg000256c	148963	148963	100.00%	98.80%
HIFI032103D#1#h1tg000638l	21187	21187	100.00%	93.49%
HIFI032103D#1#h1tg000587l	37385	37385	100.00%	97.73%
HIFI032103D#2#h2tg000299c	148963	148963	100.00%	98.80%
HIFI032103D#2#h2tg000687l	21695	21695	100.00%	93.73%
HIFI032161D#1#h1tg000305c	167628	167628	100.00%	98.99%
HIFI032161D#1#h1tg000610l	34453	34453	100.00%	95.27%
HIFI032161D#2#h2tg000356l	151365	151365	100.00%	99.64%
HIFI032164D#1#h1tg000569c	197102	197102	100.00%	99.38%
HIFI032164D#2#h2tg000498c	145290	145290	100.00%	98.66%
HIFI032167D#1#h1tg000678l	173324	173324	100.00%	99.05%
HIFI032167D#1#h1tg000245l	154108	154108	100.00%	98.91%
HIFI032167D#1#h1tg001043l	148549	148549	100.00%	99.28%
HIFI032167D#1#h1tg000641l	108069	108069	100.00%	99.11%
HIFI032167D#1#h1tg001152l	29343	29343	100.00%	100.00%
HIFI032167D#1#h1tg001172l	27768	27768	100.00%	100.00%
HIFI032167D#1#h1tg001192l	25856	25856	100.00%	100.00%
HIFI032167D#1#h1tg001179l	25088	25088	100.00%	100.00%
HIFI032167D#1#h1tg001024l	62667	62667	100.00%	98.65%
HIFI032167D#1#h1tg001157l	22249	22249	100.00%	99.85%
HIFI032167D#1#h1tg001187l	16530	16530	100.00%	99.06%
HIFI032167D#1#h1tg001188l	16270	16270	100.00%	99.30%
HIFI032167D#2#h2tg000772l	218368	218368	100.00%	99.44%
HIFI032167D#2#h2tg000827l	148125	148125	100.00%	98.90%
HIFI032167D#2#h2tg001254l	29343	29343	100.00%	100.00%
HIFI032167D#2#h2tg001261l	27768	27768	100.00%	100.00%
HIFI032167D#2#h2tg001268l	25856	25856	100.00%	100.00%
HIFI032167D#2#h2tg001265l	25088	25088	100.00%	100.00%
HIFI032167D#2#h2tg001194l	76863	76863	100.00%	98.76%
